iter	Passed	Remaining
0	2	2427
1	4	2427
2	7	2376
3	8	2058
4	10	2064
5	12	2072
6	14	2086
7	16	2066
8	18	2033
9	19	1936
10	21	1931
11	23	1934
12	23	1809
13	25	1801
14	27	1801
15	29	1793
16	30	1778
17	32	1773
18	33	1736
19	36	1810
20	38	1815
21	41	1841
22	43	1833
23	44	1804
24	46	1804
25	48	1808
26	50	1803
27	51	1798
28	53	1807
29	56	1824
30	58	1837
31	60	1831
32	62	1824
33	63	1818
34	65	1816
35	67	1815
36	69	1796
37	70	1795
38	72	1791
39	74	1791
40	76	1792
41	78	1791
42	80	1788
43	82	1786
44	83	1781
45	85	1778
46	87	1779
47	89	1780
48	91	1775
49	93	1775
50	95	1775
51	97	1772
52	98	1768
53	100	1766
54	102	1765
55	103	1738
56	104	1735
57	106	1733
58	108	1727
59	110	1725
60	111	1723
61	113	1720
62	115	1719
63	117	1718
64	119	1715
65	121	1713
66	122	1710
67	123	1693
68	125	1689
69	127	1691
70	129	1689
71	130	1684
72	132	1683
73	134	1684
74	136	1683
75	138	1681
76	140	1680
77	142	1682
78	144	1680
79	145	1677
80	147	1674
81	149	1673
82	151	1672
83	153	1673
84	155	1671
85	156	1668
86	158	1666
87	160	1664
88	162	1662
89	164	1662
90	166	1660
91	168	1659
92	169	1657
93	171	1654
94	173	1653
95	175	1651
96	177	1649
97	179	1648
98	180	1647
99	182	1643
100	184	1641
101	186	1639
102	188	1638
103	189	1636
104	191	1634
105	193	1634
106	195	1631
107	197	1628
108	198	1625
109	200	1623
110	202	1620
111	204	1619
112	205	1616
113	207	1615
114	209	1612
115	211	1612
116	213	1609
117	215	1608
118	216	1604
119	218	1602
120	220	1600
121	222	1598
122	223	1596
123	225	1595
124	227	1594
125	229	1591
126	231	1590
127	232	1586
128	234	1584
129	236	1583
130	238	1581
131	239	1578
132	241	1576
133	243	1574
134	245	1572
135	247	1569
136	249	1569
137	251	1567
138	253	1567
139	254	1564
140	256	1562
141	258	1560
142	260	1558
143	261	1555
144	264	1556
145	265	1555
146	267	1553
147	269	1550
148	271	1548
149	273	1548
150	274	1545
151	276	1542
152	278	1540
153	280	1539
154	282	1538
155	284	1536
156	285	1534
157	287	1533
158	289	1530
159	291	1528
160	293	1526
161	295	1527
162	297	1525
163	298	1523
164	300	1522
165	302	1519
166	304	1517
